
GRJ9728,Enter Gate,2019-11-25 00:05:10,,2019-10-20 18:48:57,10.0
GRJ9728,Enter Gate,2019-11-25 00:05:10,,2019-10-20 18:50:07,10.0
GRJ9728,Enter Gate,2019-11-25 00:05:10,,2019-10-20 18:50:16,10.0
GRJ9728,Enter Gate,2019-11-25 00:05:10,,2019-10-20 18:50:27,10.0
GRJ9728,ADFADF,2019-11-25 00:05:10,,2019-10-20 18:50:32,10.0
GRJ9728,Enter Gate,2019-11-25 00:05:10,,2019-10-20 18:50:37,10.0
GRJ9728,Enter Gate,2019-11-25 00:05:10,,2019-10-20 18:50:41,10.0
GRJ9728,WOW GATE,2019-11-25 00:05:10,,2019-10-20 18:50:44,50.0
GRJ9728,WOW GATE,2019-11-25 00:05:10,,2019-10-20 18:50:54,50.0
ADFASDF,ADFADF,2019-11-25 00:05:10,,2019-10-20 18:52:39,10.0
GRJ9728,One Way,2019-10-20 18:53:35,,2019-10-20 18:56:27,10.0
